customer_id,name,email,sales,plan,country,signup_date
SF-10001,Rin Yamashiro,rin.yamashiro@lumenstack.io,115,Starter,JP,2026-01-01
SF-10002,Bilal Fontana,bilal.fontana@brightloom.app,2273,Growth,GB,2026-02-02
SF-10003,Sunniva Norbu,sunniva.norbu@corvid.dev,5972,Scale,NO,2026-03-03
SF-10004,Teodoro Boateng,teodoro.boateng@maple-grid.com,22419,Enterprise,MX,2026-04-04
SF-10005,Anjali Balogun,anjali.balogun@tessera.cloud,208,Starter,IN,2026-05-05
SF-10006,Kofi Alvarado,kofi.alvarado@nordpath.se,3107,Growth,GH,2026-06-06
SF-10007,Mireia Sjoberg,mireia.sjoberg@varda.systems,11086,Scale,ES,2026-07-07
SF-10008,Havel Queiroz,havel.queiroz@quillbase.net,25911,Enterprise,CZ,2026-08-08
SF-10009,Saoirse Venkatesh,saoirse.venkatesh@lumenstack.io,497,Starter,IE,2026-09-09
SF-10010,Emeka Etxeberria,emeka.etxeberria@brightloom.app,975,Growth,NG,2026-01-10
SF-10011,Linnea Chukwu,linnea.chukwu@corvid.dev,11850,Scale,SE,2026-02-11
SF-10012,Dario Adeyemi,dario.adeyemi@maple-grid.com,41492,Enterprise,IT,2026-03-12
SF-10013,Nilufar Toprak,nilufar.toprak@tessera.cloud,554,Starter,JP,2026-04-13
SF-10014,Bjarne Estrada,bjarne.estrada@nordpath.se,2346,Growth,GB,2026-05-14
SF-10015,Chandra Bose,chandra.bose@varda.systems,9467,Scale,NO,2026-06-15
SF-10016,Iker Yildiz,iker.yildiz@quillbase.net,47931,Enterprise,MX,2026-07-16
SF-10017,Oyelaran Brennan,oyelaran.brennan@lumenstack.io,547,Starter,IN,2026-08-17
SF-10018,Katri Lunde,katri.lunde@brightloom.app,1889,Growth,GH,2026-09-18
SF-10019,Ravi Halvorsen,ravi.halvorsen@corvid.dev,11579,Scale,ES,2026-01-19
SF-10020,Solveig Thomsen,solveig.thomsen@maple-grid.com,38302,Enterprise,CZ,2026-02-20
SF-10021,Hamza Lindholm,hamza.lindholm@tessera.cloud,681,Starter,IE,2026-03-21
SF-10022,Beatriz Dvorak,beatriz.dvorak@nordpath.se,2925,Growth,NG,2026-04-22
SF-10023,Tenzin Chandran,tenzin.chandran@varda.systems,10451,Scale,SE,2026-05-23
SF-10024,Aurelie Cheng,aurelie.cheng@quillbase.net,15950,Enterprise,IT,2026-06-24
SF-10025,Kasper Karimova,kasper.karimova@lumenstack.io,573,Starter,JP,2026-07-25
SF-10026,Damla Marchand,damla.marchand@brightloom.app,2965,Growth,GB,2026-08-26
SF-10027,Ngozi Puig,ngozi.puig@corvid.dev,10904,Scale,NO,2026-09-27
SF-10028,Matias Virtanen,matias.virtanen@maple-grid.com,17394,Enterprise,MX,2026-01-01
SF-10029,Suvi Yamashiro,suvi.yamashiro@tessera.cloud,727,Starter,IN,2026-02-02
SF-10030,Idris Fontana,idris.fontana@nordpath.se,3709,Growth,GH,2026-03-03
SF-10031,Paloma Norbu,paloma.norbu@varda.systems,10824,Scale,ES,2026-04-04
SF-10032,Genji Boateng,genji.boateng@quillbase.net,20916,Enterprise,CZ,2026-05-05
SF-10033,Rin Balogun,rin.balogun@lumenstack.io,804,Starter,IE,2026-06-06
SF-10034,Bilal Alvarado,bilal.alvarado@brightloom.app,3708,Growth,NG,2026-07-07
SF-10035,Sunniva Sjoberg,sunniva.sjoberg@corvid.dev,5319,Scale,SE,2026-08-08
SF-10036,Teodoro Queiroz,teodoro.queiroz@maple-grid.com,29297,Enterprise,IT,2026-09-09
SF-10037,Anjali Venkatesh,anjali.venkatesh@tessera.cloud,250,Starter,JP,2026-01-10
SF-10038,Kofi Etxeberria,kofi.etxeberria@nordpath.se,1588,Growth,GB,2026-02-11
SF-10039,Mireia Chukwu,mireia.chukwu@varda.systems,9367,Scale,NO,2026-03-12
SF-10040,Havel Adeyemi,havel.adeyemi@quillbase.net,44495,Enterprise,MX,2026-04-13
SF-10041,Saoirse Toprak,saoirse.toprak@lumenstack.io,349,Starter,IN,2026-05-14
SF-10042,Emeka Estrada,emeka.estrada@brightloom.app,3937,Growth,GH,2026-06-15
SF-10043,Linnea Bose,linnea.bose@corvid.dev,4705,Scale,ES,2026-07-16
SF-10044,Dario Yildiz,dario.yildiz@maple-grid.com,31540,Enterprise,CZ,2026-08-17
SF-10045,Nilufar Brennan,nilufar.brennan@tessera.cloud,663,Starter,IE,2026-09-18
SF-10046,Bjarne Lunde,bjarne.lunde@nordpath.se,2294,Growth,NG,2026-01-19
SF-10047,Chandra Halvorsen,chandra.halvorsen@varda.systems,5537,Scale,SE,2026-02-20
SF-10048,Iker Thomsen,iker.thomsen@quillbase.net,21111,Enterprise,IT,2026-03-21
SF-10049,Oyelaran Lindholm,oyelaran.lindholm@lumenstack.io,562,Starter,JP,2026-04-22
SF-10050,Katri Dvorak,katri.dvorak@brightloom.app,2968,Growth,GB,2026-05-23
SF-10051,Ravi Chandran,ravi.chandran@corvid.dev,6258,Scale,NO,2026-06-24
SF-10052,Solveig Cheng,solveig.cheng@maple-grid.com,20980,Enterprise,MX,2026-07-25
SF-10053,Hamza Karimova,hamza.karimova@tessera.cloud,693,Starter,IN,2026-08-26
SF-10054,Beatriz Marchand,beatriz.marchand@nordpath.se,3892,Growth,GH,2026-09-27
SF-10055,Tenzin Puig,tenzin.puig@varda.systems,4836,Scale,ES,2026-01-01
SF-10056,Aurelie Virtanen,aurelie.virtanen@quillbase.net,32883,Enterprise,CZ,2026-02-02
SF-10057,Kasper Yamashiro,kasper.yamashiro@lumenstack.io,662,Starter,IE,2026-03-03
SF-10058,Damla Fontana,damla.fontana@brightloom.app,3312,Growth,NG,2026-04-04
SF-10059,Ngozi Norbu,ngozi.norbu@corvid.dev,8381,Scale,SE,2026-05-05
SF-10060,Matias Boateng,matias.boateng@maple-grid.com,40504,Enterprise,IT,2026-06-06
SF-10061,Suvi Balogun,suvi.balogun@tessera.cloud,444,Starter,JP,2026-07-07
SF-10062,Idris Alvarado,idris.alvarado@nordpath.se,1480,Growth,GB,2026-08-08
SF-10063,Paloma Sjoberg,paloma.sjoberg@varda.systems,10932,Scale,NO,2026-09-09
SF-10064,Genji Queiroz,genji.queiroz@quillbase.net,41220,Enterprise,MX,2026-01-10
SF-10065,Rin Venkatesh,rin.venkatesh@lumenstack.io,213,Starter,IN,2026-02-11
SF-10066,Bilal Etxeberria,bilal.etxeberria@brightloom.app,1871,Growth,GH,2026-03-12
SF-10067,Sunniva Chukwu,sunniva.chukwu@corvid.dev,9468,Scale,ES,2026-04-13
SF-10068,Teodoro Adeyemi,teodoro.adeyemi@maple-grid.com,26247,Enterprise,CZ,2026-05-14
SF-10069,Anjali Toprak,anjali.toprak@tessera.cloud,535,Starter,IE,2026-06-15
SF-10070,Kofi Estrada,kofi.estrada@nordpath.se,3927,Growth,NG,2026-07-16
SF-10071,Mireia Bose,mireia.bose@varda.systems,10831,Scale,SE,2026-08-17
SF-10072,Havel Yildiz,havel.yildiz@quillbase.net,16708,Enterprise,IT,2026-09-18
SF-10073,Saoirse Brennan,saoirse.brennan@lumenstack.io,359,Starter,JP,2026-01-19
SF-10074,Emeka Lunde,emeka.lunde@brightloom.app,1241,Growth,GB,2026-02-20
SF-10075,Linnea Halvorsen,linnea.halvorsen@corvid.dev,6422,Scale,NO,2026-03-21
SF-10076,Dario Thomsen,dario.thomsen@maple-grid.com,33444,Enterprise,MX,2026-04-22
SF-10077,Nilufar Lindholm,nilufar.lindholm@tessera.cloud,751,Starter,IN,2026-05-23
SF-10078,Bjarne Dvorak,bjarne.dvorak@nordpath.se,1781,Growth,GH,2026-06-24
SF-10079,Chandra Chandran,chandra.chandran@varda.systems,9127,Scale,ES,2026-07-25
SF-10080,Iker Cheng,iker.cheng@quillbase.net,20360,Enterprise,CZ,2026-08-26
SF-10081,Oyelaran Karimova,oyelaran.karimova@lumenstack.io,241,Starter,IE,2026-09-27
SF-10082,Katri Marchand,katri.marchand@brightloom.app,3092,Growth,NG,2026-01-01
SF-10083,Ravi Puig,ravi.puig@corvid.dev,8508,Scale,SE,2026-02-02
